title,description,providing_technologies,category,usecase,mitre_tactics,mitre_techniques,killchain,qualified_search
New IaaS API Call Per User,Looks for users that are using IaaS APIs that they've never used before.,"['Audit Trail', 'GCP', 'Azure', 'AWS']","Account Compromise, IAM Analytics, Insider Threat, SaaS","Advanced Threat Detection, Insider Threat","['Execution', 'Credential Access', 'Collection', 'Exfiltration', 'Technical Information Gathering']",['Determine 3rd party infrastructure services'],['Actions on Objectives'],"index=* sourcetype=aws:cloudtrail eventType=* NOT errorMessage=* NOT eventName=Describe* NOT eventName=Get* NOT eventName=List*| stats earliest(_time) as earliest latest(_time) as latest  by user, eventName | where earliest > relative_time(now(), ""-1d@d"") "
New Interactive Logon from a Service Account,"In most environments, service accounts should not log on interactively. This search finds new user/host combinations for accounts starting with ""svc_.""","['Authentication', 'Windows Security']",Endpoint Compromise,Advanced Threat Detection,"['Privilege Escalation', 'Persistence', 'Lateral Movement', 'Defense Evasion']","['Valid Accounts', 'Remote Services']",['Command and Control'],"index=* source=""*WinEventLog:Security"" Logon_Type=2 OR Logon_Type=10 OR Logon_Type=11 Logon Type TaskCategory=Logon Audit Success svc user=svc_* | table _time user dest | stats earliest(_time) as earliest latest(_time) as latest  by user, Logon_Type | where earliest > relative_time(now(), ""-1d@d"") "
New Local Admin Account,"Local admin accounts are used by legitimate technicians, but they're also used by attackers. This search looks for newly created accounts that are elevated to local admins.",['Windows Security'],Endpoint Compromise,"Advanced Threat Detection, Security Monitoring, Compliance","['Defense Evasion', 'Persistence']","['Valid Accounts', 'Create Account']",['Command and Control'],"index=* source=""*WinEventLog:Security"" EventCode=4720 OR (EventCode=4732 Administrators) | transaction Security_ID maxspan=180m connected=false| search EventCode=4720 (EventCode=4732 Administrators)  | table _time EventCode Account_Name Target_Account_Name Message"
New Logon Type for User,"Windows defines several logon types (Interactive, RemoteInteractive, Network, etc.). Established users rarely generate new logon types. This search will look for that scenario. (MITRE CAR Reference)",['Windows Security'],Account Compromise,"Advanced Threat Detection, Security Monitoring, Compliance","['Privilege Escalation', 'Persistence']",['Valid Accounts'],['Installation'],"index=* source=""*WinEventLog:Security"" Logon_Type=* Logon Type TaskCategory=Logon Audit Success | table _time user Logon_Type  | stats earliest(_time) as earliest latest(_time) as latest  by user, Logon_Type | where earliest > relative_time(now(), ""-1d@d"") "
New Parent Process for cmd.exe or regedit.exe,cmd.exe and regedit.exe tend to be used in the same ways. New parent processes can be suspicious. (MITRE CAR Reference),"['Windows Security', 'Endpoint Detection and Response']",Endpoint Compromise,Advanced Threat Detection,['Execution'],['Command-Line Interface'],['Exploitation'],"index=* sourcetype=*sysmon* EventCode=1 (cmd.exe Image=*\cmd.exe) OR (regedit.exe Image=*\regedit.exe)  |table  _time host Image ProcessId ParentImage ParentProcessId sha1| stats earliest(_time) as earliest latest(_time) as latest  by Image, ParentImage | where earliest > relative_time(now(), ""-1d@d"") "
New RunAs Host / Privileged Account Combination,"Privilege escalation (either via RunAs or Scheduled Tasks) create Windows Security EventID 4648 events. This search will find new usernames / host combinations, which will track privilege escalation.",['Windows Security'],Account Compromise,Security Monitoring,['Privilege Escalation'],"['Scheduled Task/Job', 'Valid Accounts']",['Installation'],"index=* source=""*WinEventLog:Security"" EventCode=4648 | search NOT Account_Name=*$ | eval Privileged_Account_Name=mvindex(Account_Name,1) | table _time  host Privileged_Account_Name| stats earliest(_time) as earliest latest(_time) as latest  by Privileged_Account_Name, host | where earliest > relative_time(now(), ""-1d@d"") "
New Service Paths for Host,New service creations are uncommon for most hosts. This search will look for both new executables and executables running from new paths launched by services.exe.,"['Windows Security', 'Endpoint Detection and Response']",Endpoint Compromise,Advanced Threat Detection,"['Persistence', 'Defense Evasion', 'Privilege Escalation']","['Masquerading', 'New Service']","['Exploitation', 'Installation', 'Command and Control']","index=* source=""*WinEventLog:Security"" EventCode=4688 services.exe | search ParentImage=*\\services.exe |table _time user host EventCode New_Process_Name ParentImage| stats earliest(_time) as earliest latest(_time) as latest  by host, Image | where earliest > relative_time(now(), ""-1d@d"") "
New Suspicious Executable Launch for User,"Some files rarely get used by legitimate activities, such as at.exe. This search will detect those executables being launched, regardless of the circumstance. (MITRE CAR Reference)","['Windows Security', 'Endpoint Detection and Response']",Endpoint Compromise,Advanced Threat Detection,['Execution'],"['Execution', 'Command-Line Interface']",['Exploitation'],"index=* source=""*WinEventLog:Security"" EventCode=4688 [|inputlookup tools.csv | search discovery_or_attack=suspicious | stats values(filename) as search | eval search=mvjoin(search, "" OR "")] | stats earliest(_time) as earliest latest(_time) as latest  by Image, user | where earliest > relative_time(now(), ""-1d@d"") "
New Suspicious cmd.exe / regedit.exe / powershell.exe Service Launch,"Very rarely would cmd.exe, regedit.exe, or powershell.exe be launched by services.exe. This search will detect that malware persistence strategy. (MITRE CAR Reference)","['Windows Security', 'Endpoint Detection and Response']",Endpoint Compromise,Advanced Threat Detection,"['Privilege Escalation', 'Persistence']",['New Service'],['Installation'],"index=* sourcetype=*sysmon* EventCode=1 ( (cmd.exe Image=*\\cmd.exe) OR (regedit.exe Image=*\\regedit.exe) OR (powershell.exe Image=*\\powershell.exe) ) (services.exe Image=*\\system32\\services.exe)| stats earliest(_time) as earliest latest(_time) as latest  by Image, host | where earliest > relative_time(now(), ""-1d@d"") "
New Tables Queried by Salesforce.com Peer Group,Salesforce.com supports a simplified query language called SOQL. This search detects users who begin querying sensitive tables that have never been contacted by peer group.,['Audit Trail'],"Data Exfiltration, GDPR, SaaS","Compliance, Insider Threat","['Discovery', 'Collection']","['Data from Information Repositories', 'Remote System Discovery']",['Actions on Objectives'],"index=sfdc QUERY=* EVENT_TYPE=API OR EVENT_TYPE=BulkAPI OR EVENT_TYPE=RestAPI | rex field=QUERY max_match=12 ""\s(?i)from\s*(?<QUERY_TABLE>[\w_]*)"" | search QUERY_TABLE=Account* OR QUERY_TABLE=Contact* OR QUERY_TABLE=Opportunity* | lookup SFDC_User_Lookup USER_IDm| stats earliest(_time) as earliest latest(_time) as latest  by USER_NAME, QUERY_TABLE | lookup $outlierPeerGroupControlToken$ USER_NAME OUTPUT peergroup | makemv peergroup delim="","" | multireport [| stats values(*) as * by USER_NAME  QUERY_TABLE  ] [| stats values(eval(if(earliest>=relative_time(now(),""-1d@d""),QUERY_TABLE ,null))) as peertoday values(eval(if(earliest<relative_time(now(),""-1d@d""),QUERY_TABLE ,null))) as peerpast by peergroup QUERY_TABLE ] | eval user=coalesce(user, peergroup) | fields - peergroup | stats values(*) as * by USER_NAME  QUERY_TABLE | where isnotnull(earliest)"
New Tables Queried by Salesforce.com User,Salesforce.com supports a simplified query language called SOQL. This search detects users who begin querying new sensitive tables.,['Audit Trail'],"Data Exfiltration, GDPR, SaaS","Compliance, Insider Threat","['Discovery', 'Collection']","['Data from Information Repositories', 'Remote System Discovery']",['Actions on Objectives'],"index=sfdc QUERY=* EVENT_TYPE=API OR EVENT_TYPE=BulkAPI OR EVENT_TYPE=RestAPI | rex field=QUERY max_match=12 ""\s(?i)from\s*(?<QUERY_TABLE>[\w_]*)"" | search QUERY_TABLE=Account* OR QUERY_TABLE=Contact* OR QUERY_TABLE=Opportunity* | lookup SFDC_User_Lookup USER_ID| stats earliest(_time) as earliest latest(_time) as latest  by USER_NAME, QUERY_TABLE | where earliest > relative_time(now(), ""-1d@d"") "
New User Taking Privileged Actions,Record when a user who hasn't taken privileged actions before suddenly starts.,"['Windows Security', 'Authentication']","Insider Threat, Privilege Escalation","Compliance, Insider Threat","['Privilege Escalation', 'Persistence']","['Valid Accounts', 'Create Account']",['Actions on Objectives'],"index=* tag=privileged| stats earliest(_time) as earliest latest(_time) as latest  by user, dest | where earliest > relative_time(now(), ""-1d@d"") "
Non-Privileged Users taking Privileged Actions,Detect users who shouldn't be able admins taking privileged actions.,"['Windows Security', 'Authentication']","Compliance, Insider Threat, Privilege Escalation","Compliance, Insider Threat",['Privilege Escalation'],['Valid Accounts'],['Actions on Objectives'],"index=* source=""*WinEventLog:Security"" tag=privileged| lookup PrivilegedRiskScores user OUTPUT isAdminAccount | search isAdminAccount=0 "
Old Passwords in Use,Detect active accounts with passwords that haven't been updated in more than 120 days.,['Windows Security'],"Compliance, GDPR",Compliance,['Credential Access'],['Brute Force'],[],"| ldapsearch search=""(&(objectclass=user)(!(objectClass=computer)))"" attrs=""sAMAccountName,pwdLastSet,lastLogonTimestamp,whenCreated,badPwdCount,logonCount"" | fields - _raw host _time | convert timeformat=""%Y-%m-%dT%H:%M:%S.%6QZ"" mktime(pwdLastSet) mktime(lastLogonTimestamp) | convert timeformat=""%Y%m%d%H%M%S.0Z""  mktime(whenCreated) | where pwdLastSet < relative_time(now(), ""-120d"") AND lastLogonTimestamp > relative_time(now(), ""-30d"") | convert ctime(lastLogonTimestamp) ctime(whenCreated) ctime(pwdLastSet)"
Open Redirect In Splunk Web,"This search allows you to look for evidence of exploitation for CVE-2016-4859, the Splunk Open Redirect Vulnerability.",['Any Splunk Logs'],Web Attack,Application Security,[],[],['Delivery'],
Outdated Malware Definitions,"Looks for Symantec AV systems where we see Symantec AV events, but don't see a malware definition update in the last few days.",['Anti-Virus or Anti-Malware'],"Operations, Compliance, Endpoint Compromise",Security Monitoring,[],[],[]," index=* sourcetype=symantec:* |stats max(eval(if(like(Event_Description, ""%LiveUpdate session ran successfully%"") , _time, null))) as LatestUpdate max(_time) as LatestMessage max(eval(if(tag=""error"", _time, null))) as LatestError by Host_Name | where LatestUpdate < relative_time(LatestMessage, ""-3d"") OR LatestError > LatestUpdate | convert ctime(LatestUpdate) ctime(LatestMessage) ctime(LatestError)"
Outdated Malware Definitions,"Looks for Symantec AV systems where we see Symantec AV events, but don't see a malware definition update in the last few days.",['Anti-Virus or Anti-Malware'],"Operations, Compliance, Endpoint Compromise",Security Monitoring,[],[],[]," index=* sourcetype=symantec:* |stats max(eval(if(like(Event_Description, ""%LiveUpdate session ran successfully%"") , _time, null))) as LatestUpdate max(_time) as LatestMessage max(eval(if(tag=""error"", _time, null))) as LatestError by Host_Name | where LatestUpdate < relative_time(LatestMessage, ""-3d"") OR LatestError > LatestUpdate | convert ctime(LatestUpdate) ctime(LatestMessage) ctime(LatestError)"
Personally Identifiable Information Detected,"Detects personally identifiable information (PII) in log files. Some software can inadvertently provide sensitive information in log files, resulting in potential exposure to those reviewing the log files.",['Any Splunk Logs'],"Compliance, Insider Threat, Data Exfiltration, GDPR","Compliance, Insider Threat",[],[],[],
Potential Day Trading,Detect users who exhibit a large amount of stock trading activity in their proxy logs.,['Web Proxy'],Insider Threat,Insider Threat,[],[],[],index=pan_logs category=financial-services earliest=-7d@d user!=unknown duration>60  |bucket _time span=1h | stats count max(duration) as maxduration by user _time | where count > 30 | stats count as num_hours_active sum(count) as total_connections median(count) as median_connections_per_hour max(maxduration) as max_duration_in_seconds by user  | where num_hours_active>20
Potential Gap in Data,Detects gaps caused by the failure of the search head. If saved searches do not execute then there may be gaps in summary data.,['Any Splunk Logs'],Operations,"Security Monitoring, Compliance",[],[],[],
Processes with High Entropy Names,Some malware will launch processes with randomized filenames.,"['Windows Security', 'Endpoint Detection and Response']",Endpoint Compromise,Advanced Threat Detection,['Defense Evasion'],['Obfuscated Files or Information'],['Installation'],"index=* source=""*WinEventLog:Security"" EventCode=4688 New_Process_Name=C:\\Users*| lookup ut_shannon_lookup word as New_Process_Name | where ut_shannon > 4.5 | stats  values(ut_shannon)  as ""Shannon Entropy Score"" by New_Process_Name,host | rename  New_Process_Name as Process,host as Endpoint | sort  -""Shannon Entropy Score"" "
Processes with Lookalike (typo) Filenames,"To evade analysts, attackers will create a service with a name similar to that of a standard Windows service. This search looks for small differences. Idea from David Bianco, formerly of Sqrrl (link).","['Windows Security', 'Endpoint Detection and Response']",Endpoint Compromise,Advanced Threat Detection,"['Defense Evasion', 'Execution']","['Masquerading', 'Service Execution']",['Installation'],"index=* (source=""*WinEventLog:Security"" EventCode=4688 ) OR (sourcetype=*sysmon* EventCode=1)| eval Image=coalesce(Image, New_Process_Name) | rex field=Image ""(?<filename>[^\\\\/]*$)"" | stats values(host) as hosts dc(host) as num_hosts values(Image) as Images by filename | eval levenshtein_scores=null | eval comparisonterm=""svchost.exe""  | lookup ut_levenshtein_lookup word1 as filename, word2 as comparisonterm | eval levenshtein_scores=mvappend(levenshtein_scores, ut_levenshtein) | eval score{ut_levenshtein} = comparisonterm | eval comparisonterm=""iexplore.exe"" | lookup ut_levenshtein_lookup word1 as filename, word2 as comparisonterm | eval levenshtein_scores=mvappend(levenshtein_scores, ut_levenshtein) | eval score{ut_levenshtein} = comparisonterm | eval comparisonterm=""ipconfig.exe"" | lookup ut_levenshtein_lookup word1 as filename, word2 as comparisonterm | eval levenshtein_scores=mvappend(levenshtein_scores, ut_levenshtein) | eval score{ut_levenshtein} = comparisonterm | eval comparisonterm=""explorer.exe"" | lookup ut_levenshtein_lookup word1 as filename, word2 as comparisonterm | eval levenshtein_scores=mvappend(levenshtein_scores, ut_levenshtein) | eval score{ut_levenshtein} = comparisonterm | eventstats max(num_hosts) as max_num_hosts | where isnull(mvfilter(levenshtein_scores=""0"")) AND min(levenshtein_scores) <3 | eval lowest_levenshtein_score=min(levenshtein_scores) | eval suspect_files = null | foreach score* [eval temp = ""<<FIELD>>"" | rex field=temp ""(?<num>\d*)$"" | eval suspect_files=if(num<3,mvappend('<<FIELD>>', suspect_files),suspect_files) | fields - temp ""<<FIELD>>""] | eval percentage_of_hosts_affected = round(100*num_hosts/max_num_hosts,2)| table filename lowest_levenshtein_score suspect_files Images hosts num_hosts percentage_of_hosts_affected"
Public Cloud Storage (Bucket),"Detects when new or existing public storage (e.g., an S3 Bucket) is set to public.","['Audit Trail', 'GCP', 'Azure', 'AWS']","Data Exfiltration, SaaS","Security Monitoring, Advanced Threat Detection",[],[],[],"index=* sourcetype=aws:cloudtrail AllUsers eventName=PutBucketAcl | spath output=userIdentityArn path=userIdentity.arn | spath output=bucketName path=""requestParameters.bucketName"" | spath output=aclControlList path=""requestParameters.AccessControlPolicy.AccessControlList"" | spath input=aclControlList output=grantee path=Grant{} | mvexpand grantee | spath input=grantee | search ""Grantee.URI""=*AllUsers | table _time, Permission, Grantee.URI, bucketName, userIdentityArn | sort - _time"
Pull List of Privileged Users,"To focus detection or response on privileged users, you must first build a list of accounts that have elevated rights or access to privileged information.",['Windows Security'],Insider Threat,Insider Threat,[],[],['Actions on Objectives'],"| ldapsearch search=""(&(objectclass=group)(|(cn=*Admins*)(cn=*Administrators*)))"" attrs=""cn,distinguishedName,groupType,member,memberOf"" | search groupType=SECURITY_ENABLED | stats count by member | eval member=""(distinguishedName="" . member . "")"" | eval length = len(member) | streamstats sum(length) as length | eval queryNum = round((length + 5000000) / 10000000, 0)| stats values(member) as search by queryNum| eval search=""(|"" . mvjoin(search, """") . "")"" | map maxsearch=100 search=""| ldapsearch search=\""$search$\"" attrs=\""sAMAccountName,title,displayName,sAMAccountName,mail,department,company,description\"""" | table description title displayName sAMAccountName mail department company | outputlookup users_who_are_members_of_admin_groups.csv"
RFC1918 IP Not in CMDB,Find internal addresses that aren't in your Asset database.,['Network Communication'],"Best Practices, Compliance, Shadow IT","Security Monitoring, Compliance",['Initial Access'],['Hardware Additions'],[],| tstats summariesonly=t allow_old_summaries=t count from datamodel=Network_Traffic where All_Traffic.src_ip=10.0.0.0/8 OR All_Traffic.src_ip=192.168.0.0/16 OR All_Traffic.src_ip=172.16.0.0./12 by All_Traffic.src_ip | lookup asset_lookup_by_str ip as All_Traffic.src_ip OUTPUT key | where isnull(key)
Ransomware Extensions,This example queries your endpoint data to find encrypted files that ransomware will create. You can often even use these extensions to identify the ransomware affecting a given endpoint.,"['Windows Security', 'Endpoint Detection and Response']",Endpoint Compromise,Advanced Threat Detection,['Execution'],['User Execution'],['Actions on Objectives'],"index=* sourcetype=XmlWinEventLog:Microsoft-Windows-Sysmon/Operational EventCode=2 OR EventCode=11 | rex field=TargetFilename ""^\S+(?<extension>\.\S+)$"" | lookup ransomware_extensions_lookup Extensions AS extension | search Name!=false  | stats values(TargetFilename) AS ""Files Written"" by _time, host, Image, Name, extension"
Ransomware Note Files,Most ransomware leaves a note on the endpoint containing directions for the victim to pay a ransom. This use case looks for these note files.,"['Windows Security', 'Endpoint Detection and Response']",Endpoint Compromise,Advanced Threat Detection,['Execution'],['User Execution'],['Actions on Objectives'],"index=* sourcetype=XmlWinEventLog:Microsoft-Windows-Sysmon/Operational EventCode=2 EventCode=11 [ | inputlookup ransomware_notes_lookup | rename ransomware_notes as TargetFilename | eval TargetFilename=""*"" . TargetFilename | table TargetFilename]| bucket _time span=1d | stats values(TargetFilename) as filesWritten by _time host Image"
Ransomware Vulnerabilities,This use case queries your Vulnerability Management logs from solutions like Nessus in order to identify the hosts in your environment that might be vulnerable to ransomware.,['Vulnerability Detection'],Vulnerability,"Security Monitoring, Compliance",[],[],['Actions on Objectives'],"index=* (sourcetype=nessus:scan OR tag=vulnerability) (cve = cve-2017-0143 OR cve = cve-2017-0144 OR cve = cve-2017-0145 OR cve = cve-2017-0146 OR cve = cve-2017-0147 OR cve = cve-2017-0148 OR cve = cve-2014-6332 OR cve = cve-2012-0158 OR cve = cve-2014-4114 OR cve = cve-2014-1761 OR cve = cve-2013-3906 OR cve = cve-2015-1641) | bucket _time span=1d | stats values(cve) as CVEs by _time, signature, netbios-name, hostname"
Recurring Infection on Host,Looks for the same malware occurring multiple times on the same host.,['Anti-Virus or Anti-Malware'],Endpoint Compromise,Security Monitoring,"['Initial Access', 'Execution']","['Drive-by Compromise', 'Spearphishing Link', 'Spearphishing Attachment', 'User Execution']",['Delivery'],"index=* sourcetype=symantec:* earliest=-30d | stats count range(_time) as TimeRange by Risk_Name, Computer_Name | where TimeRange>1800 | eval TimeRange_In_Hours = round(TimeRange/3600,2), TimeRange_In_Days = round(TimeRange/3600/24,2)"
Recurring Infection on Host,Looks for the same malware occurring multiple times on the same host.,['Anti-Virus or Anti-Malware'],Endpoint Compromise,Security Monitoring,"['Initial Access', 'Execution']","['Drive-by Compromise', 'Spearphishing Link', 'Spearphishing Attachment', 'User Execution']",['Delivery'],"index=* sourcetype=symantec:* earliest=-30d | stats count range(_time) as TimeRange by Risk_Name, Computer_Name | where TimeRange>1800 | eval TimeRange_In_Hours = round(TimeRange/3600,2), TimeRange_In_Days = round(TimeRange/3600/24,2)"
Registry Keys For Creating Shim Databases,"This search looks for registry activity associated with application compatibility shims, which can be leveraged by attackers for various nefarious purposes.",['Windows Security'],Endpoint Compromise,Advanced Threat Detection,"['Privilege Escalation', 'Persistence']",['Event Triggered Execution'],['Actions On Objectives'],
Registry Keys Used For Persistence,The search looks for modifications to registry keys that can be used to launch an application or service at system startup.,['Windows Security'],Endpoint Compromise,Advanced Threat Detection,"['Persistence', 'Privilege Escalation']",['Boot or Logon Autostart Execution'],['Actions On Objectives'],
Registry Keys Used For Privilege Escalation,"This search looks for modifications to registry keys that can be used to elevate privileges. The registry keys under ""Image File Execution Options"" are used to intercept calls to an executable and can be used to attach malicious binaries to benign system binaries.",['Windows Security'],Privilege Escalation,Advanced Threat Detection,"['Persistence', 'Privilege Escalation']",['Boot or Logon Autostart Execution'],['Actions On Objectives'],
Remote Desktop Network Bruteforce,This search looks for RDP application network traffic and filters any source/destination pair generating more than twice the standard deviation of the average traffic.,['Network Communication'],"Malware,",Security Monitoring,['Lateral Movement'],['Remote Services'],"['Reconnaissance', 'Delivery']",
Remote PowerShell Launches,It's unusual for new users to remotely launch PowerShell on another system. This will track the first time per user + host combination that powershel is remotely started.,"['Endpoint Detection and Response', 'Windows Security']",Lateral Movement,Advanced Threat Detection,['Lateral Movement'],['Remote Services'],['Installation'],"index=* source=""*WinEventLog:Security"" EventCode=4688 wsmprovhost svchost ParentImage=*\\svchost.exe Image=*\\wsmprovhost.exe | table _time user host EventCode New_Process_Name| stats earliest(_time) as earliest latest(_time) as latest  by user, dest | where earliest > relative_time(now(), ""-1d@d"") "
Risky Events from Privileged Users,"When something generally risky occurs to your most privileged users, you likely should respond more quickly. Fortunately, this is easy to do.",['Ticket Management'],"Insider Threat, IAM Analytics","Insider Threat, Security Monitoring","['Persistence', 'Privilege Escalation']",['Valid Accounts'],[],index=risk risk_object_type=user | lookup PrivilegedRiskScores user as risk_object | search risk_score>0
SMB Traffic Allowed,This use case looks for any SMB traffic allowed through your firewall.,['Network Communication'],"Operations, Ransomware",Security Monitoring,"['Execution', 'Lateral Movement']","['Exploitation of Remote Services', 'Windows Admin Shares', 'Service Execution']","['Reconnaissance', 'Delivery']",index=* ((tag=network tag=communicate) OR (sourcetype=pan*traffic OR sourcetype=opsec OR sourcetype=cisco:asa OR sourcetype=stream* )) action=allowed (app=smb OR dest_port=139 OR dest_port=445) | bucket _time span=1d | stats count by _time src_ip dest_ip dest_port
SMB Traffic Spike - MLTK,This search uses the Machine Learning Toolkit (MLTK) to identify spikes in the number of Server Message Block (SMB) connections.,['Network Communication'],"Malware,",Advanced Threat Detection,['Lateral Movement'],['Remote Services'],['Actions On Objectives'],
Short Lived Admin Accounts,"A technique used by attackers is to create an account, take some actions, and then delete it right away. This search will find those accounts on the local system.",['Windows Security'],Endpoint Compromise,Advanced Threat Detection,"['Defense Evasion', 'Persistence']","['Create Account', 'Defense Evasion']",['Command and Control'],"index=* source=""*WinEventLog:Security""   EventCode=4726 OR EventCode=4720 | eval Account_Name=mvindex(Account_Name,1) | transaction Account_Name maxspan=180m startswith=""EventCode=4726"" endswith=""EventCode=4720"" connected=false| table _time EventCode Account_Name Message"
Short Lived Windows Accounts,This search detects accounts that were created and deleted in a short time period.,['Windows Security'],Best Practices,Security Monitoring,['Persistence'],['Create Account'],[],
Significant Increase in Interactive Logons,Typically non-admin users will only interactively log into one system per day. A user who starts loggin into many can indicate account compromise and lateral movement. (MITRE CAR Reference),['Windows Security'],Lateral Movement,Advanced Threat Detection,"['Lateral Movement', 'Privilege Escalation', 'Persistence']","['Lateral Movement', 'Valid Accounts', 'Remote Services']","['Installation', 'Actions On Objectives']","index=* source=""*WinEventLog:Security"" Logon_Type=2 OR Logon_Type=10 OR Logon_Type=11 Logon Type TaskCategory=Logon Audit Success | bucket _time span=1d | stats dc(dest) as count by _time user| stats count as num_data_samples max(eval(if(_time >= relative_time(maxtime, ""-1d@d""), 'count',null))) as count avg(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as avg stdev(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as stdev by user | eval lowerBound=(avg-stdev*2), upperBound=(avg+stdev*2)| where 'count' > upperBound AND num_data_samples >=7"
Significant Increase in Interactively Logged On Users,"Most systems will have a relatively predictable number of interactively logged on users. This search will look for systems that have dramatically more than they typically do, with a per-user baseline.",['Windows Security'],Endpoint Compromise,Advanced Threat Detection,"['Privilege Escalation', 'Persistence']",['Valid Accounts'],"['Command and Control', 'Installation']","index=* source=""*WinEventLog:Security"" Logon_Type=2 OR Logon_Type=10 OR Logon_Type=11 Logon Type TaskCategory=Logon Audit Success | bucket _time span=1d | stats dc(user) as count by _time dest| stats count as num_data_samples max(eval(if(_time >= relative_time(maxtime, ""-1d@d""), 'count',null))) as count avg(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as avg stdev(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as stdev by dest | eval lowerBound=(avg-stdev*2), upperBound=(avg+stdev*2)| where 'count' > upperBound AND num_data_samples >=7"
Sources Sending Many DNS Requests,"A common method for Data Exfiltration is to send out many DNS or Ping requests, embedding data into the payload. This is often not logged.",['Network Communication'],"Data Exfiltration, Endpoint Compromise","Advanced Threat Detection, Insider Threat","['Exfiltration', 'Command and Control']","['Exfiltration Over C2 Channel', 'Commonly Used Port', 'Application Layer Protocol']","['Command and Control', 'Actions On Objectives']","((tag=network tag=communicate) OR (index=pan_logs sourcetype=pan*traffic) OR (index=* sourcetype=opsec) OR (index=* sourcetype=cisco:asa) ) dest_port=53 | bucket _time span=1h | stats count by src_ip _time | eventstats max(_time) as maxtime avg(count) as avg_count stdev(count) as stdev_count | eventstats count as num_data_samples avg(eval(if(_time < relative_time(maxtime, ""@h""),count,null))) as per_source_avg_count stdev(eval(if(_time < relative_time(maxtime, ""@h""),count,null))) as per_source_stdev_count by src_ip  | where num_data_samples >=4 AND count > avg_count + 3 * stdev_count AND count > per_source_avg_count + 3 * per_source_stdev_count AND _time >= relative_time(maxtime, ""@h"") | eval num_standard_deviations_away_from_org_average = round(abs(count - avg_count) / stdev_count,2), num_standard_deviations_away_from_per_source_average = round(abs(count - per_source_avg_count) / per_source_stdev_count,2) | fields - maxtime per_source* avg* stdev*"
Sources Sending a High Volume of DNS Traffic,"A common method of data exfiltration is to send out a huge volume (in bytes) of DNS or ping requests, embedding data into the payload. This is often not logged.",['Network Communication'],Data Exfiltration,Insider Threat,"['Exfiltration', 'Command and Control']","['Exfiltration Over Alternative Protocol', 'Application Layer Protocol', 'Exfiltration Over C2 Channel']","['Command and Control', 'Actions On Objectives']","(tag=network tag=communicate) OR (index=pan_logs sourcetype=pan*traffic) OR (index=* sourcetype=opsec) OR (index=* sourcetype=cisco:asa)  | bucket _time span=1h | stats sum(bytes*) as bytes* by src_ip _time | eventstats max(_time) as maxtime avg(bytes_out) as avg_bytes_out stdev(bytes_out) as stdev_bytes_out | eventstats count as num_data_samples avg(eval(if(_time < relative_time(maxtime, ""@h""),bytes_out,null))) as per_source_avg_bytes_out stdev(eval(if(_time < relative_time(maxtime, ""@h""),bytes_out,null))) as per_source_stdev_bytes_out by src_ip  | where num_data_samples >=4 AND bytes_out > avg_bytes_out + 3 * stdev_bytes_out AND bytes_out > per_source_avg_bytes_out + 3 * per_source_stdev_bytes_out AND _time >= relative_time(maxtime, ""@h"") | eval num_standard_deviations_away_from_org_average = round(abs(bytes_out - avg_bytes_out) / stdev_bytes_out,2), num_standard_deviations_away_from_per_source_average = round(abs(bytes_out - per_source_avg_bytes_out) / per_source_stdev_bytes_out,2) | fields - maxtime per_source* avg* stdev*"
Spike in Downloaded Documents Per User from Salesforce.com,"Salesforce.com contains the most critical information for many companies. This example tracks the number of documents downloaded per day per user, to detect exfiltration.",['Audit Trail'],"Data Exfiltration, SaaS",Insider Threat,['Collection'],['Data from Information Repositories'],['Actions on Objectives'],"index=sfdc EVENT_TYPE=DocumentAttachmentDownloads | lookup SFDC_User_Lookup USER_ID | bucket _time span=1d | stats count by USER_NAME _time| stats count as num_data_samples max(eval(if(_time >= relative_time(maxtime, ""-1d@d""), 'count',null))) as count avg(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as avg stdev(eval(if(_time<relative_time(maxtime,""-1d@d""),'count',null))) as stdev by USER_NAME | eval lowerBound=(avg-stdev*2), upperBound=(avg+stdev*2)| where 'count' > upperBound AND num_data_samples >=7"
Spike in Exported Records from Salesforce.com,"For many organizations, Salesforce.com contains the most critical information in their company. This use case tracks the number of records exported per day (and is based on a real set of data collection).",['Audit Trail'],"Data Exfiltration, GDPR, SaaS","Compliance, Insider Threat",['Collection'],['Data from Information Repositories'],['Actions on Objectives'],"index=sfdc ROWS_PROCESSED>0 EVENT_TYPE=API OR EVENT_TYPE=BulkAPI OR EVENT_TYPE=RestAPI| lookup SFDC_User_Lookup USER_ID| bucket _time span=1d | stats sum(ROWS_PROCESSED) as rows by _time USER_NAME| stats count as num_data_samples max(eval(if(_time >= relative_time(maxtime, ""-1d@d""), 'rows',null))) as rows avg(eval(if(_time<relative_time(maxtime,""-1d@d""),'rows',null))) as avg stdev(eval(if(_time<relative_time(maxtime,""-1d@d""),'rows',null))) as stdev by USER_NAME | eval lowerBound=(avg-stdev*2), upperBound=(avg+stdev*2)| where 'rows' > upperBound AND num_data_samples >=7"
